Element	English	Norwegian Nynorsk
Sodium	Metallic sodium is vital in the manufacture of esters and in the preparation of organic compounds.<br><br>Sodium vapor lamps are often used for street lighting in cities.<br><br>Liquid sodium is used as a heat transfer fluid in some fast reactors.<br><br>Sodium is also used as an alloying metal, an anti-scaling agent, and as a reducing agent for metals when other materials are ineffective.	Metallisk natrium er avgjerande i produksjon av estrar og i framstilling av organiske sambindingar.<br><br>Natriumdamplampar vert ofte nytta til gatebelysning i byar.<br><br>Flytande natrium vert nytta som varmeover-føringsvæske i nokre hurtigreaktortarar.<br><br>Natrium vert òg nytta som legeringsmetall, anti-avleiingsmiddel og som reduksjonsmiddel for metall når andre materiale er ueffektive.
Magnesium	Magnesium is widely used in the manufacturing of mobile phones, laptop computers, cameras, and other electronic components.<br><br>The brilliant light it produces when ignited is made use of in photography, flares, pyrotechnics and incendiary bombs.<br><br>Magnesium compounds such as the hydroxide (milk of magnesia), sulfate (Epsom salts), chloride and citrate are used for medicinal purposes.	Magnesium vert mykje nytta i produksjon av mobiltelefoner, berbare datamaskinar, kamera og andre elektroniske komponentar.<br><br>Det strålande lyset det produserer når det vert tennt vert nytta i fotografi, lysfaklar, pyroteknisk og brannbombar.<br><br>Magnesiumforbindelsar som hydroksid (magnesiamjølk), sulfat (Epsomsalt), klorid og sitrat vert nytta til medisinske føremål.
Aluminium	Aluminum is used in an extensive range of products from drinks cans to window frames and boats to aircraft.<br><br>It is used in electrical transmission lines.<br><br>It is also used for kitchen utensils, outside building decoration, and in thousands of industrial applications.<br><br>When alloyed with small amounts of copper, magnesium, silicon, manganese, or other elements impart a variety of useful properties.	Aluminium vert nytta i eit breitt utval av produkt frå drikkeboksar til vindauskarmane og båtar til fly.<br><br>Det vert nytta i elektriske overføringsliner.<br><br>Det vert òg nytta til kjøkkenutstyr, utvendig bygningsdekorasjon og i tusenvis av industrielle bruksområde.<br><br>Når det vert lega med små mengder koppar, magnesium, silisium, mangan eller andre grunnstoff, gjev det ei rekkje nyttige eigenskapar.
Silicon	In the form of sand and clay it is used to make concrete and brick; it is a useful refractory material for high-temperature work, and in the form of silicates it is used in making enamels, pottery, etc.<br><br>Silica, as sand, is a principal ingredient of glass.<br><br>Silicon chips are the basis of modern electronic and computing.<br><br>Silicon carbide, more commonly called carborundum is used in abrasives.	I form av sand og leire vert det nytta til å lage betong og teglstein; det er eit nyttig ildfastmateriale for høgtemperaturarbeid, og i form av silikatane vert det nytta til å lage emaljar, keramikk osv.<br><br>Silika, som sand, er ein hovudingrediensane i glas.<br><br>Silisiumchip er grunnlaget for moderne elektronikk og databehandling.<br><br>Silisiumkarbid, meir vanleg kalla karborundum, vert nytta i slipemiddel.
Phosphorus	Many fertilisers contain a high proportion of phosphorus and are manufactured from concentrated phosphoric acids.<br><br>Phosphorus is used in the manufacture of safety matches, pyrotechnics and incendiary shells.<br><br>Phosphorus is also used in steel manufacture and in the production of phosphor bronze.	Mange gjødselstoff inneheld ein høg del fosfor og vert produsert frå konsentrerte fosforsyrer.<br><br>Fosfor vert nytta i produksjon av tryggingsfyrstikkar, pyroteknisk og branngranat.<br><br>Fosfor vert òg nytta i stålproduksjon og i produksjon av fosforbronse.
Sulfur	Sulfur's main commercial use is as a reactant in the production of sulfuric acid.<br><br>Sulfur is a component of black gunpowder, and is used in the vulcanization of natural rubber and a fungicide.<br><br>It is used to make sulfite paper and other papers, to fumigate, and to bleach dried fruits.<br><br>It is also used extensively in making phosphatic fertilizers.	Hovudkommersiell bruk av svovel er som reaktant i produksjon av svovelsyre.<br><br>Svovel er ein komponent av svart krutt og vert nytta i vulkanisering av naturgummi og som soppdrepande middel.<br><br>Det vert nytta til å lage sulfittspapir og andre papir, til fumigering og til bleking av tørka frukt.<br><br>Det vert òg mykje nytta i produksjon av fosfatgjødsel.
Chlorine	Chlorine is used for producing safe drinking water.<br><br>It is also extensively used in the production of paper products, dyestuffs, textiles, petroleum products, medicines, antiseptics, insecticides, food, solvents, paints, plastics, and many other consumer products.<br><br>Chlorinated compounds are used mostly for sanitation, pulp bleaching, disinfectants, and textile processing.	Klor vert nytta til å produsere trygt drikkvatn.<br><br>Det vert òg mykje nytta i produksjon av papirvarer, fargestoff, tekstilar, petroleumsprodukt, medisin, antiseptika, insektmiddel, mat, løysemiddel, måling, plast og mange andre forbrukarvarer.<br><br>Klorerte sambindingar vert hovudsakleg nytta til sanering, bleking av trefiber, desinfeksjonsmiddel og tekstilbehandling.
Argon	Argon gas is used to fill conventional incandescent and fluorescent light bulbs.<br><br>Argon is also used as an inert gas shield for arc welding and cutting, as blanket for the production of titanium and other reactive elements.<br><br>It is used as a protective atmosphere for growing silicon and germanium crystals.	Argongass vert nytta til å fylle konvensjonelle glødepærer og lysstoffrøyr.<br><br>Argon vert òg nytta som eit inert gasssskjold for bogssveising og -skjering, som dekke for produksjon av titan og andre reaktive grunnstoff.<br><br>Det vert nytta som vernatmosfære for dyrking av silisium- og germaniumkrystallar.
Potassium	The greatest demand for potash has been in its use for fertilizers.<br><br>Potassium is an essential constituent for plant growth and is found in most soils.<br><br>Potassium nitrate is the main explosive ingredient in gunpowder.<br><br>Potassium hydroxide is used in the manufacture of soft soaps and as an electrolyte in alkaline batteries.	Den største etterspurnaden etter potas har vore i bruken til gjødsel.<br><br>Kalium er ein naudsynt bestanddel for plantevekst og finst i dei fleste jordsmonnar.<br><br>Kaliumnitrat er hovudsprengstoffingrediensen i krutt.<br><br>Kaliumhydroksid vert nytta i produksjon av mjuk såpe og som elektrolytt i alkaliske batteriar.
Calcium	Calcium is used to remove oxygen, sulfur and carbon from alloys.<br><br>It is also used as an alloying agent used in the production of aluminum, beryllium, copper, lead, and magnesium alloys.<br><br>Calcium is used as a reducing agent in the extraction of other metals, such as uranium, zirconium, and thorium.<br><br>Calcium carbonate is used in manufacturing cement and mortar, lime and limestone.	Kalsium vert nytta til å fjerne oksygen, svovel og karbon frå legeringar.<br><br>Det vert òg nytta som legeringsmiddel i produksjon av aluminium-, beryllium-, koppar-, bly- og magnesiumlegeringar.<br><br>Kalsium vert nytta som reduksjonsmiddel i utvinning av andre metall, som uran, zirkonium og thorium.<br><br>Kalsiumkarbonat vert nytta i produksjon av sement og mørtel, kalk og kalkstein.
Scandium	Scandium is used in sports equipment such as golf iron shafts, baseball bats, bicycle frames and fishing rods.<br><br>Scandium iodide, along with sodium iodide, when added to a modified form of mercury-vapor lamp, produces a form of metal halide lamp.<br><br>The radioactive isotope <sup>46</sup>Sc is used in oil refineries as a tracing agent.	Skandium vert nytta i sportsutstyr som golfkølleskaft, baseballbattar, sykkelrammer og fiskestaur.<br><br>Skandiumjodid, saman med natriumjodid, når det vert lagt til ei modifisert form av kvikksølvdamplampe, produserer ein form for metallhalogenlampe.<br><br>Den radioaktive isotopen <sup>46</sup>Sc vert nytta i oljeraffineri som sporingsstoff.
Titanium	Titanium is used in steel as an alloying element to reduce grain size and as a deoxidizer, and in stainless steel to reduce carbon content.<br><br>Titanium has potential use in desalination plants for converting sea water into fresh water.<br><br>Titanium is used in several everyday products such as drill bits, bicycles, golf clubs, watches and laptop computers.	Titan vert nytta i stål som legeringselement for å redusere kornstorleiken og som desoksideringsmiddel, og i rustfritt stål for å redusere karboninnhaldet.<br><br>Titan har potensiell bruk i avsaltingsanlegg for å omgjere havvatn til ferskvatn.<br><br>Titan vert nytta i fleire kvardagsprodukt som borebistar, syklar, golfkøller, klokker og berbare datamaskinar.
Vanadium	Vanadium is used as an additive in steel to strengthen and protect against corrosion.<br><br>Titanium-aluminum-vanadium alloy is used in jet engines and for high-speed aircraft.<br><br>Vanadium foil is used in cladding titanium to steel.<br><br>Vanadium pentoxide is used in ceramics and as a catalyst for the production of sulfuric acid.	Vanadium vert nytta som tilsetjingsstoff i stål for å styrkje og verne mot korrosjon.<br><br>Titan-aluminium-vanadiumlegering vert nytta i jetmotorar og for høgfartsfly.<br><br>Vanadiumfolie vert nytta til å kle titan til stål.<br><br>Vanadiumpenroksid vert nytta i keramikk og som katalysator for produksjon av svovelsyre.
Chromium	Chromium is used to harden steel, manufacture stainless steel, and form many useful alloys.<br><br>It is mostly used in plating to produce a hard, beautiful surface and to prevent corrosion.<br><br>The metal is also widely used as a catalyst.<br><br>Chromium compounds are valued as pigments for their vivid green, yellow, red and orange colors.	Krom vert nytta til å herda stål, produsere rustfritt stål og danne mange nyttige legeringar.<br><br>Det vert hovudsakleg nytta i galvanisering for å produsere ei hard, vakker overflate og for å hindre korrosjon.<br><br>Metallet vert òg mykje nytta som katalysator.<br><br>Kromforbindelsar vert verdsette som pigment for sine livlege grøne, gule, raude og oransje fargar.
Manganese	For over 2000 years, manganese dioxide has been used to make colorless glass.<br><br>Manganese dioxide is used as the cathode material in zinc-carbon and alkaline batteries.<br><br>Manganese also functions in the oxygen-evolving complex of photosynthetic plants.<br><br>The dioxide is also used in the preparation of oxygen and chlorine and in drying black paints.	I over 2000 år har manganddioksid vorte nytta til å lage fargelaust glas.<br><br>Manganddioksid vert nytta som katodemateriale i sink-karbon og alkaliske batteriar.<br><br>Mangan fungerer òg i oksygenutvikling-komplekset til fotosyntetiske plantar.<br><br>Dioksidet vert òg nytta i framstilling av oksygen og klor og i tørking av svarte målingane.
Iron	Iron is used to manufacture steel and other alloys important in construction and manufacturing.<br><br>Iron is a vital constituent of plant and animal life and works as an oxygen carrier in hemoglobin.<br><br>Iron oxide mixed with aluminum powder can be ignited to create a thermite reaction, used in welding and purifying ores.	Jern vert nytta til å produsere stål og andre legeringar som er viktige i bygg og produksjon.<br><br>Jern er ein avgjerande bestanddel av plante- og dyreliv og fungerer som oksygenberar i hemoglobin.<br><br>Jernoksid blanda med aluminiumpulver kan tennas for å skape ein termittreaksjon, nytta i sveising og reinsing av malmar.
Cobalt	Cobalt is used in the preparation of magnetic, wear-resistant and high-strength alloys.<br><br>Cobalt is widely used in batteries and in electroplating.<br><br>Radioactive <sup>60</sup>Co is used in the treatment of cancer.<br><br>A solution of the chloride is used as a sympathetic ink.	Kobolt vert nytta i framstilling av magnetiske, slitesterke og høgfastlegeringar.<br><br>Kobolt vert mykje nytta i batteriar og i elektrogalvanisering.<br><br>Radioaktivt <sup>60</sup>Co vert nytta i behandling av kreft.<br><br>Ei løysing av kloridet vert nytta som sympatisk blekk.
Nickel	Nickel is used extensively to make coins and nickel steel for armor plates and burglar-proof vaults.<br><br>Tubing made of copper-nickel alloy is extensively used in making desalination plants for converting sea water into fresh water.<br><br>Nickel is also used in batteries, ceramics and magnets.	Nikkel vert mykje nytta til å lage myntar og nikkelstål til pansarplater og innbrotsikre kvelv.<br><br>Røyr laga av koppar-nikkellegering vert mykje nytta i produksjon av avsaltingsanlegg for å omgjere havvatn til ferskvatn.<br><br>Nikkel vert òg nytta i batteriar, keramikk og magnestar.
Copper	Copper is often used for electrical wiring applications and for household plumbing applications.<br><br>Copper sulfate is used as a fungicide and as an algicide in rivers, lakes and ponds.<br><br>It is also used in cookware and cooking utensils.<br><br>Commercially important alloys such as brass and bronze are made with copper and other metals.	Koppar vert ofte nytta til elektrisk leidning og til røyrleggingsapplikasjonar i heimen.<br><br>Kobbarsulfat vert nytta som soppdrepande middel og som algicid i elvar, innsjøar og tjern.<br><br>Det vert òg nytta i kokekar og kokeutstyr.<br><br>Kommersielt viktige legeringar som messing og bronse vert laga med koppar og andre metall.
Zinc	Because of its corrosion resistance, zinc is often plated to other metals in a process called galvanization.<br><br>Zinc is an essential trace element for animals and plants.<br><br>Large quantities of zinc are used to produce die castings, which are used extensively by the automotive, electrical, and hardware industries.	På grunn av korrosjonsmotstanden vert sink ofte galdvanisert på andre metall i ein prosess kalla galvanisering.<br><br>Sink er eit essensielt sporstoff for dyr og plantar.<br><br>Store mengder sink vert nytta til å produsere trykkstøypegodsene, som vert mykje nytta i bil-, elektrisk og hardvarebransjen.
Gallium	Gallium wets glass or porcelain and forms a brilliant mirror when it is painted on glass.<br><br>It is widely used in doping semiconductors and producing solid-state devices such as transistors.<br><br>Low melting gallium alloys are used in some medical thermometers as non-toxic substitutes for mercury.<br><br>Gallium arsenide is capable of converting electricity directly into coherent light.	Gallium fuktar glas eller porselen og dannar eit strålande spegel når det vert måla på glas.<br><br>Det vert mykje nytta i dotering av halvleiarar og produksjon av faste krinsar som transistorar.<br><br>Galliumlegeringar med lav smeltepunkt vert nytta i nokre medisinske termometrar som ikkje-giftige erstatningar for kvikksølv.<br><br>Galliumarsenid er i stand til å omgjere elektrisitet direkte til koherent lys.
Germanium	The most common use of germanium is as a semiconductor in electronics.<br><br>Germanium is used in transistors and in integrated circuits.<br><br>It is used as an alloying agent and as a catalyst.<br><br>It is also used in infrared spectroscopes and infrared detectors.	Den vanlegaste bruken av germanium er som halvleiar i elektronikk.<br><br>Germanium vert nytta i transistorar og i integrerte kretsar.<br><br>Det vert nytta som legeringsmiddel og som katalysator.<br><br>Det vert òg nytta i infraraudspektroskop og infrarauddetektor.
Arsenic	The toxicity of arsenic to insects, bacteria and fungi led to its use as a wood preservative and as insecticides.<br><br>Arsenic is used in bronzing, pyrotechny, and for hardening and improving the sphericity of shot.<br><br>Gallium arsenide is a semiconductor used in laser diodes and LEDs.<br><br>Small amounts of arsenic can be used in lead alloys for ammunition.	Toksisiteten til arsen for insekt, bakteriar og sopp førte til bruken som trevern og som insektmiddel.<br><br>Arsen vert nytta i bronsering, pyroteknisk og til herding og forbetring av sferisiteten til hagl.<br><br>Galliumarsenid er ein halvleiar nytta i laserdiod og LED.<br><br>Små mengder arsen kan nyttast i blylegeringar til ammunisjon.
Selenium	Selenium is used in the glass industry to decolorize glass and to make red-colored glasses and enamels.<br><br>It is used as a catalyst in many chemical reactions.<br><br>It is also used as a photographic toner, and as an additive to stainless steel.<br><br>Selenium sulfide is used in anti-dandruff shampoos.	Selen vert nytta i glassindustrien til å avfarge glas og til å lage raudfarva glas og emaljar.<br><br>Det vert nytta som katalysator i mange kjemiske reaksjonar.<br><br>Det vert òg nytta som fotografisk tonar og som tilsetjingsstoff til rustfritt stål.<br><br>Seleniumsulfid vert nytta i skjellsjampoar.
Bromine	Bromine is used in making fumigants, flameproofing agents, water purification compounds, dyes, medicines and sanitizers.<br><br>Potassium bromide is used as a source of bromide ions for the manufacture of silver bromide for photographic film.<br><br>Bromine is also used to reduce mercury pollution from coal-fired power plants.	Brom vert nytta i produksjon av fumigentar, brannhemmande middel, vassreinseforbindelsar, fargestoff, medisin og sanitæringsmiddel.<br><br>Kaliumbromid vert nytta som kjelde til bromidionar for produksjon av sølvbromid til fotografisk film.<br><br>Brom vert òg nytta til å redusere kvikksølvforureining frå kolkraftverk.
Krypton	Krypton is used in certain photographic flash lamps for high-speed photography.<br><br>Krypton-83 has application in magnetic resonance imaging (MRI) for imaging airways.<br><br>Krypton is used as a filling gas for energy-saving fluorescent lights and as an inert filling gas in incandescent bulbs.	Krypton vert nytta i visse fotografiske blitslampar for høgfartsfotografi.<br><br>Krypton-83 har applikasjon i magnetresonanstomografi (MRI) for avbilding av luftvegane.<br><br>Krypton vert nytta som fyllingsgass for energisparande lysstoffrøyr og som inert fyllingsgass i glødepærer.
Rubidium	Rubidium is used as a getter in vacuum tubes and as a photocell component.<br><br>Rubidium compounds are sometimes used in fireworks to give them a purple color.<br><br>Rubidium salts are used in glasses and ceramics.<br><br>Rubidium-87 is slightly radioactive and has been used extensively in dating rocks.	Rubidium vert nytta som getter i vakuumrøyr og som fotocellekomponent.<br><br>Rubidiumforbindelsar vert nokre gonger nytta i fyrverkeri for å gje dei ei fiolett farge.<br><br>Rubidiumsalt vert nytta i glas og keramikk.<br><br>Rubidium-87 er litt radioaktivt og har vorte mykje nytta i datering av stein.
Strontium	The primary use for strontium is in glass for color television cathode ray tubes.<br><br>Strontium salts are used in flares and fireworks for a crimson color.<br><br>Strontium chloride is used in toothpaste for sensitive teeth.<br><br>Strontium oxide is used to improve the quality of pottery glazes.	Den primære bruken av strontium er i glas for katodestrålerøyr til fargefjernsynsapparatar.<br><br>Strontiumsalt vert nytta i lysfaklar og fyrverkeri for ei karminraud farge.<br><br>Strontiumklorid vert nytta i tannkrem for sensitive tenner.<br><br>Strontiumoksid vert nytta til å betre kvaliteten på keramikkglasurar.
Yttrium	Yttrium is often used in alloys, increasing the strength of aluminum and magnesium alloys.<br><br>Yttrium is one of the elements used to make the red color in CRT televisions.<br><br>It is also used as a deoxidizer for non-ferrous metals such as vanadium.<br><br>Yttrium can be used in laser systems and as a catalyst for ethylene polymerization reactions.	Yttrium vert ofte nytta i legeringar, noko som aukar styrken til aluminium- og magnesiumlegeringane.<br><br>Yttrium er eit av grunnstoffa som vert nytta til å lage den raude fargen i CRT-fjernsynsapparata.<br><br>Det vert òg nytta som desoksideringsmiddel for ikkje-jerne metall som vanadium.<br><br>Yttrium kan nyttast i lasersystem og som katalysator for etylenpoly-merisasjonsreaksjonar.
Zirconium	Zirconium is mainly used as a refractory and opacifier, although it is used in small amounts as an alloying agent for its strong resistance to corrosion.<br><br>Zirconium is used as to make surgical instruments and is used in steel alloys as a hardening agent.<br><br>Zirconium is also used to make superconductive magnets.	Zirkonium vert hovudsakleg nytta som ildfastmateriale og opasifiseringsmiddel, sjølv om det vert nytta i små mengder som legeringsmiddel for sin sterke korrosjonsmotstanden.<br><br>Zirkonium vert nytta til å lage kirurgiske instrument og vert nytta i stållegeringar som eit herdingsmiddel.<br><br>Zirkonium vert òg nytta til å lage superleiiande magnestar.
Niobium	Niobium is used in arc-welding rods for stabilized grades of stainless steel.<br><br>Niobium alloys are strong and are often used in pipeline construction.<br><br>The metal is used in superalloys for jet engines and heat resistant equipment.<br><br>Niobium is found in many medical devices such as pacemakers.	Niobium vert nytta i bogsveisingsstavar for stabiliserte kvalitetar av rustfritt stål.<br><br>Niobiumlegeringar er sterke og vert ofte nytta i røyrleidningskonstruksjon.<br><br>Metallet vert nytta i superlegeringar for jetmotorar og varmemotstandardsutstyr.<br><br>Niobium finst i mange medisinske utstyr som pacemakers.
Molybdenum	Molybdenum is used as glass furnace electrodes due to its high melting point.<br><br>The metal is also used in nuclear energy applications and for missile and aircraft parts.<br><br>Molybdenum is valuable as a catalyst in the refining of petroleum.<br><br>Molybdenum is used in small quantities to harden steel and is used in many alloys.	Molybden vert nytta som glasomnstolelektrode på grunn av det høge smeltepunktet.<br><br>Metallet vert òg nytta i kjernekraftapplikasjonar og til missilar og flydelar.<br><br>Molybden er verdifullt som katalysator i raffinering av petroleum.<br><br>Molybden vert nytta i små mengder til å herda stål og vert nytta i mange legeringar.
Technetium	Technetium is used in nuclear medicine to carry out a number of medical tests, mainly relating to imaging and functional studies of internal bodily organs like bone scan.<br><br>It is also used industrially for equipment calibration following its approval as a standard beta emitter.<br><br>Mild carbon steels may be effectively protected by minute quantities of technetium, but this corrosion protection is limited to closed systems because of technetium's radioactivity.	Technetium vert nytta i kjernelægedom til å gjennomføre ei rekkje medisinske testar, hovudsakleg relatert til avbilding og funksjonelle studiar av indre kroppsorgan som beinscanning.<br><br>Det vert òg nytta industrielt til kalibrering av utstyr etter godkjenninga som ein standard beta-emittar.<br><br>Milde karbonstål kan effektivt vernast av minimumslegde av technetium, men denne korrosjonsverningen er avgrensa til lukka system på grunn av radioaktiviteten til technetium.
Ruthenium	Ruthenium is used in platinum and palladium alloys to make wear-resistant electrical contacts.<br><br>Ruthenium dioxide and lead and bismuth ruthenates are used in thick-film chip resistors.<br><br>Fountain pen nibs are frequently tipped with alloys containing ruthenium.<br><br>Ruthenium is a versatile catalyst.	Ruthenium vert nytta i platina- og palladiumlegeringar til å lage slitesterke elektriske kontaktar.<br><br>Rutheniumdioksid og bly- og vismutruthenatat vert nytta i tjukkfilm-chip-resistorar.<br><br>Fyljepennespissar vert ofte pynta med legeringar som inneheld ruthenium.<br><br>Ruthenium er ein allsidig katalysator.
Rhodium	The element's major use is as one of the catalysts in the three-way catalytic converters in automobiles.<br><br>Rhodium is used as an alloying agent for hardening and improving the corrosion resistance of platinum and palladium.<br><br>It is also used as a filter in mammography systems because of the characteristic X-rays it produces.<br><br>Rhodium is also used for jewelry and for decorations.	Hovudbruken av grunnstoffet er som ein av katalysatorane i trevegskatalysatorane i bilar.<br><br>Rhodium vert nytta som legeringsmiddel til å herda og betre korrosjonsmotstanden til platina og palladium.<br><br>Det vert òg nytta som filter i mammografisystem på grunn av dei karakteristiske røntgenstrålanane det produserer.<br><br>Rhodium vert òg nytta til smykke og til dekorasjonar.
Palladium	The largest use of palladium is in catalytic converters in the automobile industry.<br><br>Finely divided palladium is a good catalyst and is used for hydrogenation and dehydrogenation reactions.<br><br>The metal is used in dentistry, watch making, and in making surgical instruments and electrical contacts.	Den største bruken av palladium er i katalysatorar i bilindustrien.<br><br>Finkornet palladium er ein god katalysator og vert nytta til hydrogenerings- og dehydrogeneringsreaksjonar.<br><br>Metallet vert nytta i tannlegepraksis, urmakeri og i produksjon av kirurgiske instrument og elektriske kontaktar.
Silver	Silver has long been valued as a precious metal, and is used as an investment, to make ornaments, jewelry, high-value tableware, utensils, and currency coins.<br><br>It is also used in electrical contacts and conductors, in mirrors and in catalysis of chemical reactions.<br><br>Its compounds are used in photographic film, and dilute silver nitrate solutions and other silver compounds are used as disinfectants and microbiocides	Sølv har lenge vorte verdsett som eit edelt metall og vert nytta som investering, til å lage prydgjenstandar, smykke, høgverdig bordservis, reiskapar og myntmyntar.<br><br>Det vert òg nytta i elektriske kontaktar og leiiarar, i speglar og i katalyse av kjemiske reaksjonar.<br><br>Sambindingane vert nytta i fotografisk film, og fortynnde sølvnitratsløysingar og andre sølvsambindingar vert nytta som desinfeksjonsmiddel og mikrobicide.
Cadmium	Cadmium is a key component in battery production.<br><br>It is also is used in electroplating.<br><br>Cadmium oxide is used in black and white television phosphors and in the blue and green phosphors for color television picture tubes.<br><br>Cadmium is used as a barrier to control neutrons in nuclear fission.	Kadmium er ein nøkkelkomponent i batteriproduksjonen.<br><br>Det vert òg nytta i elektrogalvanisering.<br><br>Kadmiumoksid vert nytta i svart-kvitt-fjernsynsfosfore og i dei blå og grøne fosforne til fargefjernsynsbilettrøyr.<br><br>Kadmium vert nytta som barriere for å kontrollere nøytronar i kjernefisjon.
Indium	Indium's current primary application is to form transparent electrodes from indium tin oxide in liquid crystal displays and touchscreens.<br><br>It is widely used in thin-films to form lubricated layers.<br><br>It is also used for making particularly low melting point alloys, and is a component in some lead-free solders.	Den noverande primære anvendinga av indium er å danne gjennomsiktige elektroder frå indiumtinnoksid i flytande krystall-display og berøringsskjermar.<br><br>Det vert mykje nytta i tynne filmar for å danne smurte lag.<br><br>Det vert òg nytta til å lage legeringar med spesielt lågt smeltepunkt og er ein komponent i nokre blyfrie loddemateriale.
Tin	Tin is used as a coating on the surface of other metals to prevent corrosion.<br><br>It has long been used as a solder in the form of an alloy with lead.<br><br>Tin salts sprayed onto glass are used to produce electrically conductive coatings.<br><br>Tin chloride is used as a mordant in dyeing textiles and for increasing the weight of silk.	Tinn vert nytta som belegg på overflata av andre metall for å hindre korrosjon.<br><br>Det har lenge vorte nytta som loddemateriaa i form av ei legering med bly.<br><br>Tinnsalt spraya på glas vert nytta til å produsere elektrisk leidande belegg.<br><br>Tinnklorid vert nytta som beis i farging av tekstilar og til å auke vekta av silke.
Antimony	The largest applications for metallic antimony are as alloying material for lead and tin and for lead antimony plates in lead-acid batteries.<br><br>Alloying lead and tin with antimony improves the properties of the alloys which are used in solders, bullets and plain bearings.<br><br>Antimony trioxide is used as a flame retardant in adhesives, plastics, rubber and textiles.	Dei største applikasjonane for metallisk antimon er som legeringsmateriale for bly og tinn og for bly-antimonplatar i blysyre-batteriar.<br><br>Legering av bly og tinn med antimon betrar eigenskapane til legeringane som vert nytta i loddemateriaa, kuler og glidelager.<br><br>Antimontrioksid vert nytta som branntardmiddel i lim, plast, gummi og tekstilar.
Tellurium	The primary use of tellurium is in alloys, foremost in steel and copper to improve machinability.<br><br>Tellurium is used as a basic ingredient in blasting caps, and is added to cast iron for chill control.<br><br>It is used in vulcanizing rubber and in catalysts for petroleum cracking.<br><br>Tellurium is used as a coloring agent in ceramics.	Den primære bruken av tellur er i legeringar, framfor alt i stål og koppar for å betre maskinbarheit.<br><br>Tellur vert nytta som ein grunnleggjande ingrediens i tennhetter og vert tilsett støypejern for kuldekontroll.<br><br>Det vert nytta i vulkanisering av gummi og i katalysatorar for petroleumkrakking.<br><br>Tellur vert nytta som fargemiddel i keramikk.
Iodine	Iodine compounds are important in organic chemistry and very useful in medicine.<br><br>A solution containing potassium iodide and iodine in alcohol is used to disinfect external wounds.<br><br>Silver iodide is a major ingredient to traditional photographic film.<br><br>Iodine is added to table salt to prevent thyroid disease.	Jodforbindelsar er viktige i organisk kjemi og svært nyttige i medisin.<br><br>Ei løysing som inneheld kaliumjodid og jod i alkohol vert nytta til å desinfisere ytre sår.<br><br>Sølvjodid er ein hovudingrediensane i tradisjonell fotografisk film.<br><br>Jod vert tilsett bordsalt for å hindre skjoldbruskkjertelsjukdom.
Xenon	Xenon is used in flash lamps and arc lamps, and in photographic flashes.<br><br>Xenon is used in medicine as a general anesthetic and in medical imaging.<br><br>In nuclear energy applications, xenon is used in bubble chambers, probes, and in other areas where a high molecular weight and inert nature is desirable.	Xenon vert nytta i blitslampar og boglyslampar og i fotografiske blits.<br><br>Xenon vert nytta i medisin som generell anestesi og i medisinsk avbilding.<br><br>I kjernekraftapplikasjonar vert xenon nytta i boblekammer, sondar og i andre område der høg molekylvekt og inert natur er ynskjeleg.
Caesium	The radioactive isotope cesium-137 has a half-life of about 30 years and is used in medical applications, industrial gauges, and hydrology.<br><br>Cesium is also used in photoelectric cells and as a catalyst in the hydrogenation of organic compounds.<br><br>Cesium vapor thermionic generators are low-power devices that convert heat energy to electrical energy.	Den radioaktive isotopen cesium-137 har ei halveringstid på om lag 30 år og vert nytta i medisinske applikasjonar, industrielle målarar og hydrologi.<br><br>Cesium vert òg nytta i fotoelektriske celler og som katalysator i hydrogenering av organiske sambindingar.<br><br>Cesiumdamp-termoioniske generatorar er låg-effekt-einheitar som omgjer varmeenergi til elektrisk energi.
Barium	Barium is used as a flashed getter in vacuum tubes to remove the last traces of gases.<br><br>It is often used in barium-nickel alloys for spark plug wire.<br><br>Barium sulfate is important to the petroleum industry as a drilling fluid in oil and gas wells.<br><br>Barium is also used in medicine to detect abnormalities in the digestive system.	Barium vert nytta som blittgetter i vakuumrøyr for å fjerne dei siste spora av gassar.<br><br>Det vert ofte nytta i barium-nikkel-legeringar til tenningspluggleidar.<br><br>Bariumsulfat er viktig for petroleumsindustrien som borevæske i olje- og gassbrønnar.<br><br>Barium vert òg nytta i medisin til å oppdage avvik i fordøyingssystemet.
Lanthanum	Lanthanum is used in large quantities in batteries for hybrid automobiles.<br><br>It is also used to make night vision goggles.<br><br>Small amounts of lanthanum, as an additive, can be used to produce nodular cast iron.<br><br>Lanthanum carbonate is used to reduce blood levels of phosphate in patients with kidney disease.	Lantan vert nytta i store mengder i batteriar til hybridbilar.<br><br>Det vert òg nytta til å lage nattsynsbriller.<br><br>Små mengder lantan, som eit tilsetjingsstoff, kan nyttast til å produsere nodulær støypejern.<br><br>Lantankarbonat vert nytta til å redusere blodnivå av fosfat hos pasientar med nyresjukdom.
Cerium	Cerium is used in carbon-arc lighting, especially in the motion picture industry.<br><br>Cerium oxide is an important component of glass polishing powders and phosphors used in screens and fluorescent lamps.<br><br>Cerium compounds are also used in the manufacture of glass, both as a component and as a decolorizer.	Cerium vert nytta i karbonboge-lys, særleg i filmindustrien.<br><br>Ceriumoksid er ein viktig komponent i glasspoleringspulver og fosfore nytta i skjermar og lysstoffrøyr.<br><br>Ceriumforbindelsar vert òg nytta i produksjon av glas, både som komponent og som avfargingsmiddel.
